id,name,stream,category,description,skills_needed,avg_salary_lpa,top_colleges,rating,reviews
1,Doctor MBBS,Science,Healthcare,Diagnose and treat patients in hospitals and clinics Medical degree internship and strong clinical knowledge required Specialize in surgery medicine pediatrics cardiology neurology and more,Biology Chemistry English Communication Problem Solving,10,AIIMS JIPMER CMC Vellore Armed Forces Medical College,4.9,25000
2,Engineer BTech,Science,Engineering,Design develop and build technology systems infrastructure and machines Specialize in computer science mechanical electrical civil and electronics engineering,Mathematics Physics Problem Solving Logical Thinking,8,IIT NIT BITS Pilani VIT,4.8,30000
3,Data Scientist,Science,Technology,Analyze large datasets using machine learning and statistical models Extract insights and build predictive models using Python R and SQL,Mathematics Statistics Python R SQL Machine Learning,12,IIT IISc BITS,4.8,18000
4,Software Engineer,Science,Technology,Design develop and maintain software applications using programming languages Strong problem solving and coding skills required Work in product companies startups and MNCs,Programming Logic Building Algorithms Data Structures,10,IIT NIT BITS VIT,4.8,25000
5,Chartered Accountant,Commerce,Finance,Manage financial accounts auditing taxation and compliance Strong accounting knowledge analytical skills and CA certification from ICAI required,Accounting Mathematics Analytical Thinking Taxation Law,15,SRCC Hindu College Loyola,4.8,12000
6,Lawyer,Arts,Legal,Provide legal advice represent clients in court and draft legal documents LLB degree strong research and communication skills required Specialize in criminal civil corporate law,Reading Writing Research Communication Logical Thinking,8,NLU Delhi NLU Bangalore NLSIU,4.7,9000
7,IAS IPS Officer,Arts,Government,Serve the nation through Indian Administrative Service or Police Service Clear UPSC exam and undergo rigorous training Leadership and decision making at district and state level,General Knowledge Current Affairs Leadership Communication,20,Delhi University JNU St Stephens,4.9,8000
8,Architect,Science,Design,Design and plan buildings infrastructure and spaces combining art and engineering AutoCAD 3D modeling structural knowledge and creativity required,Mathematics Drawing Creativity AutoCAD 3D Modeling,8,SPA Delhi CEPT Ahmedabad IIT Roorkee,4.7,10000
9,Graphic Designer,Arts,Design,Create visual content for print and digital media Using Adobe Photoshop Illustrator and CorelDraw for branding logos posters and marketing materials,Creativity Drawing Adobe Photoshop Illustrator Color Theory,5,NID NIFT MIT Institute of Design,4.5,15000
10,Fashion Designer,Arts,Design,Create clothing accessories and footwear collections Sketching pattern making textile knowledge and creativity required Work for brands studios and launch own label,Creativity Sketching Textile Knowledge Sewing Trend Analysis,6,NIFT NID Pearl Academy,4.6,12000
11,Journalist,Arts,Media,Research and report news stories for print digital and broadcast media Strong writing interviewing and fact checking skills required Work in newspapers TV channels and digital platforms,Writing Communication Research Interviewing Current Affairs,5,IIMC Symbiosis ACJ Chennai,4.5,16000
12,Teacher Professor,Arts,Education,Educate students at school or college level Subject expertise curriculum planning and strong communication skills required Make a difference in students lives,Communication Patience Subject Knowledge Curriculum Planning,4,BEd Colleges University Education Departments,4.7,20000
13,Psychologist,Science,Healthcare,Assess and treat mental health conditions Provide counseling and therapy Masters degree in psychology and strong empathy required Work in hospitals schools and private practice,Empathy Communication Research Biology Psychology,7,NIMHANS Delhi University TISS,4.8,10000
